Word;Subjective Frequency;AoA;Imageability
cadre;4.321428571;7.854282536;6.1
cage;3.571428571;6.133481646;6.566666667
caille;3.142857143;9.667408231;5.433333333
caisse;4.428571429;6.426028921;5.966666667
cake;3.821428571;6.958843159;6.366666667
calme;5.142857143;5.857619577;3.833333333
calque;3.392857143;8.174638487;5.266666667
camp;3.75;7.625;5.4
cancre;2.928571429;11.52169077;3.4
canne;3.464285714;6.42269188;6.2
cap;3.428571429;9.178571429;3.266666667
cape;3.25;6.494994438;6.1
câpre;2.607142857;12.06878307;4.12
car;5.535714286;6.31701891;5.6
carpe;2.714285714;8.560622914;5.733333333
carte;4.678571429;5.959955506;6.566666667
cas;5.928571429;7.636262514;1.5
case;4.071428571;6.561735261;4.466666667
cash;3.607142857;12.23804227;3.066666667
casque;3.892857143;6.67185762;6.7
casse;4.642857143;6.140155729;3.433333333
cause;5.535714286;8.066740823;2.066666667
cave;3.571428571;6.847608454;6.3
ce;6.714285714;5.107897664;1.533333333
cèdre;2.821428571;11.15247253;4.428571429
celle;6.071428571;6.957730812;2.344827586
celte;2.714285714;11.13904338;3.9
cendre;3.964285714;7.244716352;6.033333333
cent;4.964285714;6.284760845;5.033333333
centre;4.75;7.062291435;4.066666667
cèpe;3.107142857;8.670745273;5.931034483
cercle;4.142857143;6.034482759;6.333333333
cerf;3.071428571;6.383759733;6.533333333
certes;5.571428571;11.37708565;1.3
cesse;4.321428571;8.210233593;1.733333333
chaîne;4.785714286;7.600667408;6.433333333
chair;3.714285714;8.707452725;5.033333333
chaise;5.5;4.031145717;6.866666667
châle;3.035714286;9.127919911;5.533333333
chambre;5.785714286;3.783092325;6.3
champ;3.964285714;5.637374861;6.433333333
chance;5.071428571;6.429365962;2.966666667
change;5.5;6.244716352;2.4
chant;4.428571429;6.104560623;5.3
chaque;6.642857143;6.510714286;1.633333333
char;2.785714286;8.380422692;5.5
charge;4.321428571;9.404761905;3.066666667
charme;4.428571429;9.350389321;3.9
charte;2.964285714;12.79948914;2.866666667
chasse;3.571428571;6.245828699;5.4
chaste;2.714285714;12.5294772;2.724137931
chat;5.25;3.819799778;6.9
chaud;5.357142857;4.033370412;4.766666667
chauffe;4.714285714;6.328571429;3.166666667
chaume;2.75;10.60791826;3.733333333
chauve;3.5;6.669632925;6.333333333
chaux;2.75;11.72286079;2.75862069
chef;4.464285714;6.389321468;5.533333333
chêne;3.285714286;7.561735261;6.133333333
chèque;4.785714286;9.27919911;6.733333333
cher;5.392857143;6.513904338;3.066666667
chèvre;3.75;4.993325918;6.9
chez;6.392857143;5.21134594;1.8
chic;4.142857143;9.240266963;3.633333333
chien;4.928571429;3.571746385;6.8
chiffre;5.428571429;5.206896552;5.533333333
chine;3.607142857;9.038314176;5.633333333
chiot;3.75;6.172413793;6.833333333
chips;4.142857143;5.604004449;6.7
chique;3.428571429;12.10217114;3.25
chlore;3.285714286;9.606229143;3.9
choc;4.607142857;7.743047831;4.133333333
choeur;3.321428571;10.06451613;4.517241379
choix;5.785714286;6.961067853;2.566666667
chope;3.714285714;11.06451613;4.266666667
chose;5.928571429;5.353726363;3
chou;3.714285714;5.992213571;6.233333333
chouette;4.071428571;6.27919911;6.366666667
christ;3.107142857;8.953281424;5.066666667
chrome;2.75;12.28809524;3.233333333
chute;4.071428571;6.780867631;4.433333333
cible;3.964285714;7.706340378;6.4
cidre;3.107142857;9.858731924;6.433333333
ciel;4.964285714;5.349276974;6.666666667
cierge;2.857142857;8.886540601;6.2
cil;4.142857143;6.637374861;6.6
cime;3.178571429;9.325;4.379310345
cinq;5.035714286;4.352614016;5.466666667
cintre;3.892857143;7.508333333;6.689655172
cire;3.321428571;8.562847608;5.7
cirque;3.285714286;5.245828699;6.566666667
clair;5.285714286;6.740823137;4.333333333
clan;3.857142857;9.245828699;3.5
claque;3.928571429;5.288097887;5.733333333
classe;5.464285714;4.921023359;5.366666667
clause;3.035714286;12.7753059;2.033333333
clé;6;5.285873192;6.666666667
clerc;2.642857143;12.24694105;2.851851852
clic;4.785714286;8;4.172413793
clip;4.714285714;10.41935484;4.933333333
clique;4.178571429;9.735714286;2.933333333
cloche;3.642857143;6.102335929;6.7
cloître;2.785714286;11.60280971;3.571428571
clone;3.357142857;12.67408231;4.2
clope;5.75;10.567297;6.466666667
cloque;3.035714286;9.148809524;5.233333333
clos;3.5;9.586904762;3.4
clou;3.607142857;6.599555061;6.7
clown;3.392857143;5.527252503;6.566666667
club;4.178571429;8.493882091;4.366666667
coche;3.25;9.795657727;2.966666667
code;4.428571429;8.071190211;4.7
coeur;5.25;5.494994438;6.7
coffre;3.785714286;6.13570634;6.433333333
coiffe;3.571428571;9.313681869;4.833333333
coin;4.428571429;5.492769744;4.966666667
coing;2.964285714;8.924450549;5.275862069
col;4.035714286;7.52836485;5.366666667
colle;4.571428571;5.706340378;6.4
comble;3.357142857;11.06785714;2.866666667
comme;6.75;5.283648498;1.833333333
compte;5.107142857;7.501668521;3.8
comte;3.214285714;9.548809524;3.928571429
cône;3.321428571;8.954393771;5.666666667
conte;3.571428571;5.419354839;4.5
contre;5.75;6.491698595;2.133333333
coq;3.285714286;4.209121246;6.866666667
coque;3.392857143;8.140155729;4.866666667
corde;4;5.731800766;6.533333333
corne;3.107142857;6.562847608;6.266666667
corps;5.178571429;5.529477197;6.233333333
cote;4.107142857;8.531289911;4.133333333
côte;4.428571429;7.812013348;5
cou;4.607142857;4.536151279;5.833333333
couche;4.464285714;4.958843159;5.6
coude;4.464285714;5.282758621;6.566666667
coudre;3.535714286;7.097886541;5
couette;5.5;6.807142857;6.666666667
coup;4.892857143;5.604004449;4.633333333
coupe;4.428571429;6.957730812;5.233333333
couple;5.214285714;8.210714286;6.033333333
cour;4.5;5.703571429;5.266666667
courbe;3.75;8.953281424;5.4
courge;2.857142857;9.918798665;5.433333333
cours;6.678571429;8.499443826;4.533333333
course;4.535714286;5.708565072;4.9
court;5.357142857;5.993325918;3.733333333
coût;4.75;9.208008899;3.3
crabe;3.285714286;5.816462736;6.766666667
craie;3.571428571;7.483870968;6.433333333
craindre;4.285714286;12.40934372;2.633333333
crainte;4.178571429;9.103448276;2.7
crampe;3.964285714;9.919047619;4.666666667
cran;3.392857143;9.42269188;3.344827586
crâne;4.142857143;7.312569522;6.633333333
crasse;3.714285714;7.716351502;4.433333333
crèche;3.642857143;7.026696329;6.2
crème;4.821428571;6.216666667;6.433333333
crêpe;3.857142857;4.964404894;6.7
crête;3.321428571;8.997775306;5.733333333
creux;3.892857143;7.552380952;4.466666667
cri;4.571428571;4.816462736;4.766666667
crible;3.071428571;12.74367816;2.192307692
crime;4.214285714;9.42269188;4.666666667
crique;2.857142857;11.70411568;4.333333333
crise;4.642857143;8.350389321;3.1
croc;3.285714286;7.745272525;4.655172414
croire;5.357142857;6.278086763;2.366666667
croître;3.678571429;11.03448276;2.75862069
croix;3.142857143;5.815350389;6.566666667
crosse;2.75;11.11401099;5
croupe;3.321428571;10.03703704;3.642857143
croûte;3.392857143;6.493882091;6.1
cru;4.392857143;7.108333333;3.833333333
cruche;3.428571429;8.477380952;5.433333333
crue;3.321428571;9.955952381;3.6
crypte;2.535714286;11.67519466;3.931034483
cube;3.75;5.17352614;6.333333333
cuir;4.142857143;8.424916574;5.866666667
cuisse;4.785714286;5.248053393;6.5
cuit;5.142857143;6.208008899;4.4
cuivre;3.142857143;10.17797553;4.9
culte;3.821428571;10.81646274;2.766666667
cure;3.464285714;9.547619048;2.8
cuve;3.178571429;9.779755284;5.8
cycle;3.857142857;10.10119048;3.566666667
cygne;3.071428571;6.216666667;6.433333333
daim;2.892857143;9.498331479;5.137931034
dalle;3.678571429;10.70856507;5.366666667
dame;4.642857143;5.176863181;6.266666667
dans;6.75;4.887652948;1.666666667
danse;4.5;5.209121246;5.766666667
date;5.75;5.998887653;4.266666667
datte;3;9.345939933;6
de;6.892857143;4.816462736;1.333333333
dé;4.428571429;5.427141268;6.066666667
dent;5.357142857;4.06785317;6.7
des;6.928571429;4.644048943;1.965517241
dès;6.214285714;8.165739711;2.666666667
dette;3.571428571;10.47738095;3.5
deuil;3.035714286;10.25238095;4.333333333
deux;5.857142857;3.639599555;4.966666667
diable;3.357142857;7.314794216;5.633333333
diète;3.535714286;11.38375973;2.9
dieu;4;7.282536151;2.933333333
digne;3.75;10.44404762;2.466666667
dinde;3.892857143;6.846496107;6.333333333
diode;2.75;12.81646274;4.4
dire;6.321428571;4.663095238;2.8
disque;5;7.204671858;6.433333333
dit;6.642857143;4.355951057;2.2
dix;5.392857143;4.352614016;4.633333333
do;3.5;7.75083426;3.066666667
dogme;2.964285714;14.9010989;2.708333333
doigt;5.678571429;3.711902113;6.766666667
dôme;3.464285714;10.77864294;4.4
don;4.107142857;9.243604004;3.133333333
donc;6.821428571;6.78865406;1.7
donne;5.964285714;4.337164751;2.333333333
dont;6.321428571;7.954393771;1.6
dos;5.142857143;4.781979978;5.933333333
dose;4.214285714;8.817575083;3.4
douane;3.214285714;11.17130145;4.766666667
double;4.857142857;7.351501669;3.4
douche;6.107142857;4.674082314;6.5
doué;4.642857143;8.390433815;3
douille;3.035714286;11.71301446;4
doute;5.107142857;8.804761905;3.033333333
doux;4.642857143;5.14349277;4.133333333
douze;4.892857143;5.032258065;4.9
drame;3.964285714;9.033333333;3.233333333
drap;4.928571429;8.207142857;6.7
drogue;4.285714286;10.91546162;5.066666667
droit;5.5;6.810901001;3.366666667
droite;6.178571429;5.705228031;4.633333333
drôle;5.285714286;6.243604004;4.033333333
druide;2.785714286;8.741935484;4.966666667
du;6.464285714;5.0756396;1.366666667
dû;4.678571429;9.84047619;1.466666667
duc;2.821428571;9.955300128;3.620689655
duel;3.392857143;9.027808676;4.666666667
dune;2.785714286;8.745272525;6.066666667
duo;4;9.438095238;4.6
dupe;3.321428571;15.12013348;1.931034483
dur;5.5;5.21547619;3.433333333
eau;6.678571429;3.640711902;6.566666667
elfe;2.892857143;10.51547619;5.333333333
elle;6.928571429;4.426028921;2.466666667
en;6.857142857;5.532814238;1.3
encre;4.5;6.494994438;5.9
entre;6.464285714;5.586904762;1.966666667
est;6.535714286;5.335714286;2.666666667
et;6.964285714;3.997775306;1.4
être;6.464285714;5.784204672;1.766666667
eux;6.321428571;5.886904762;2
fa;2.892857143;8.002298851;2.862068966
fable;3.25;7.174638487;4.633333333
fac;6.464285714;12.81423804;6.233333333
face;5.214285714;7.031145717;3.9
fade;3.714285714;10.53058954;3.033333333
faible;4.75;7.472619048;2.666666667
faille;3.428571429;10.88214286;4.1
faim;6.607142857;4.244716352;4.666666667
faire;6.428571429;4.853170189;2.533333333
fait;6.535714286;5.815350389;2.233333333
fan;4.678571429;9.777011494;3.928571429
faon;2.678571429;6.670745273;6.066666667
farce;3.5;6.890989989;4.633333333
fard;3.428571429;10.91502463;4.586206897
faune;3.071428571;9.492769744;4.733333333
faute;5.357142857;5.711902113;3.7
fauve;2.928571429;8.397619048;6.033333333
faux;6.178571429;5.245828699;2.966666667
fax;3.75;11.63626251;5.1
fée;3.25;4.994438265;6.333333333
feindre;2.857142857;12.13809524;2.413793103
feinte;3.464285714;11.06340378;3.266666667
femme;5.857142857;5.459399333;6.7
fendre;3.5;9.846496107;3.333333333
fente;3.535714286;8.457174638;4.966666667
fer;3.75;7.180200222;4.666666667
ferme;4.357142857;5.028921023;6.066666667
fête;5.035714286;5.824249166;6
feu;4.714285714;4.852057842;6.633333333
feuille;5.821428571;4.781979978;6.766666667
feutre;4.107142857;4.518353726;6.533333333
fiable;4.107142857;11.27697442;2.666666667
fibre;4.035714286;11.2458287;3.866666667
fiche;5.25;7.959955506;5.066666667
fier;4.5;8.139043382;2.966666667
fièvre;3.607142857;6.36547619;4.166666667
figue;3.214285714;9.312569522;6.233333333
fil;4.464285714;5.708565072;6.166666667
file;4.214285714;7.385984427;4.533333333
fille;5.892857143;3.998887653;6.3
film;5.392857143;5.707452725;5.933333333
fils;5.178571429;5.641824249;5.166666667
filtre;4;9.098998888;5.566666667
fin;5.392857143;5.212458287;3.066666667
fiole;2.678571429;10.61785714;5.066666667
firme;3.214285714;13.10122358;2.586206897
fisc;3.035714286;14.05952381;2.793103448
fixe;4.678571429;8.402380952;2.966666667
flair;3.357142857;9.350389321;2.966666667
flamme;3.964285714;6.206896552;6.566666667
flan;3.535714286;6.857619577;6.033333333
flanc;3.321428571;9.958843159;4.357142857
flaque;3.785714286;5.463848721;6.066666667
flash;4.071428571;8.640711902;5.466666667
flasque;3.214285714;11.72030651;3.620689655
flèche;3.428571429;6.213095238;6.733333333
flemme;5.178571429;10.40357143;3
fleur;4.821428571;4.139043382;6.833333333
fleuve;3.535714286;7.283648498;6.166666667
flot;2.964285714;8.920238095;3.433333333
flotte;3.75;7.896551724;4.366666667
flou;3.964285714;8.320238095;4.266666667
fluide;3.857142857;11.33716475;3.533333333
flûte;3.642857143;6.739285714;6.766666667
flux;3.75;12.43214286;2.827586207
foi;3.892857143;8.927380952;2.733333333
foie;3.714285714;8.432703003;5.133333333
foin;3.464285714;6.674082314;6.133333333
foire;3.428571429;7.46051168;5.4
fois;4.785714286;5.780867631;2.233333333
folk;4.75;13.14048531;2.857142857
fond;3.928571429;6.637374861;3.366666667
fondre;4.642857143;7.172413793;4.233333333
fonte;3.285714286;10.60066741;3.766666667
foot;3.821428571;6.065628476;6.733333333
force;4.857142857;6.492769744;3.6
forge;3.857142857;9.599555061;3.833333333
forme;3.928571429;5.998809524;3.533333333
fort;5.5;4.856321839;4
fosse;4.285714286;9.957142857;5.133333333
fou;4.178571429;6.244716352;4.533333333
foudre;4.25;7.482142857;6.166666667
fouet;3.357142857;7.496106785;6.366666667
fougue;3.392857143;11.6547619;2.448275862
fouille;3.571428571;8.210233593;3.5
fouine;3.214285714;8.478571429;4.966666667
foule;3.857142857;7.529477197;5.8
four;4.75;5.31701891;6.6
fourbe;3.964285714;12.3202381;2.142857143
fourche;3.464285714;7.427141268;5.966666667
frais;3.928571429;7.242491657;3.6
fraise;4.535714286;4.318131257;6.866666667
franc;4.178571429;8.218020022;4.566666667
frange;4;7.136818687;6.333333333
frappe;4.5;6.741935484;4.166666667
fraude;4;12.07142857;2.933333333
frein;4.071428571;6.994438265;4.733333333
frêle;3.571428571;11.56832695;2.642857143
frère;4.357142857;4.385984427;6.066666667
fresque;4;10.9202381;5.206896552
frise;3.035714286;7.442857143;4.433333333
frite;3.75;5.141268076;6.666666667
froid;5.178571429;4.315906563;4.733333333
front;4.75;5.066740823;6.033333333
frousse;4.071428571;8.544047619;3.366666667
fruit;4.392857143;7.057842047;6.533333333
fugue;4.285714286;10.42157953;3.533333333
fuir;3.785714286;7.889877642;3.6
fuite;3.928571429;7.641824249;3.4
fût;4.142857143;10.69761905;2.5
gag;3.642857143;8.815350389;3.9
gage;3.214285714;7.783092325;3.103448276
gai;4;7.846496107;3.966666667
gain;4.035714286;9.780867631;4.103448276
gaine;2.928571429;10.99404762;3.965517241
gamme;3.857142857;9.253571429;2.9
gang;3.392857143;11.44047619;4.533333333
gant;3.5;5.352614016;6.466666667
garde;4.5;6.853170189;3.933333333
gare;4.75;6.588095238;6.566666667
gauche;6;5.636262514;4.5
gaufre;3.464285714;6.210233593;6.533333333
gaz;4.035714286;7.713014461;4.066666667
gel;4.357142857;7.705228031;5.833333333
gendre;3.714285714;10.38709677;4.333333333
gène;4.357142857;11.35150167;3.333333333
gêne;4.285714286;9.807142857;3.1
genre;5.357142857;8.607341491;2.6
gens;5.785714286;5.847608454;5.233333333
gerbe;3.464285714;10.99221357;4.206896552
germe;3.214285714;10.65238095;4.2
geste;5.142857143;6.995238095;4.1
gifle;3.714285714;5.427141268;5.833333333
gîte;3.142857143;10.73333333;5.566666667
givre;3;9.385984427;5.766666667
glace;4.464285714;4.424916574;6.633333333
glaive;2.464285714;10.49333333;3.423076923
gland;3.392857143;8.568409344;6.066666667
glande;3.857142857;12.36428571;4.1
glauque;3.5;13.02892102;2.793103448
glisse;3.857142857;6.391546162;4.366666667
globe;3.357142857;7.817857143;6.2
gloire;3.785714286;9.775305895;2.833333333
glotte;2.571428571;12.06868132;4.206896552
goinfre;3.928571429;8.420178799;4.166666667
golf;3.035714286;8.882091212;6.433333333
golfe;3.392857143;10.65238095;6
gomme;4.607142857;5.706340378;6.733333333
gond;2.75;11.325;2.862068966
gorge;4.428571429;5.746384872;6.433333333
gosse;4.571428571;7.426028921;5.4
gouffre;3.321428571;9.639599555;4.7
gourde;3.464285714;7.459399333;6.066666667
gousse;3.178571429;9.997619048;4.966666667
goût;5.107142857;5.56618465;3.433333333
goutte;4.571428571;6.313681869;6.033333333
grâce;5.607142857;8.775305895;2.4
grade;3.25;10.70189099;3.366666667
grain;3.714285714;6.389321468;6
graine;3.5;5.848720801;6.266666667
graisse;4.571428571;8.066666667;5.333333333
gramme;4.678571429;8.100111235;2.533333333
grand;5.535714286;4.068965517;5.133333333
grange;3.285714286;7.209121246;6.433333333
grappe;3.464285714;7.692857143;6.433333333
gras;4.857142857;7.032258065;4.266666667
gratte;4.535714286;5.923248053;3.433333333
grave;5.5;6.17352614;2.733333333
gré;3.321428571;11.34355045;1.923076923
grec;3.107142857;9.623809524;3.866666667
greffe;3.571428571;11.74082314;4.466666667
grêle;3;7.701190476;6.2
grès;3.392857143;12.32261905;2.074074074
grève;4.107142857;10.38598443;5.433333333
griffe;3.928571429;5.674082314;6.466666667
grill;3.535714286;9.245238095;5.5
grille;4.035714286;7.208008899;6.033333333
grippe;3.678571429;7.171301446;4.466666667
gris;4.642857143;4.853170189;5.9
grogne;3.464285714;8.029761905;3.166666667
gros;5.392857143;4.713014461;5.233333333
grotte;3.142857143;7.003337041;6.433333333
groupe;5.428571429;6.314794216;4.766666667
grue;3.214285714;7.106785317;6.366666667
guêpe;3.178571429;5.637374861;6.6
guère;3.75;10.17738095;2.461538462
guerre;4.392857143;6.925472747;5.8
guêtre;2.321428571;11.6025641;4.55
gueule;5.535714286;6.848720801;5.2
guide;4.107142857;8.458286986;5.1
gym;4.142857143;7.102335929;5.933333333
hache;3.214285714;6.852057842;6.466666667
haie;3.25;7.885714286;6.233333333
haine;4.107142857;9.560622914;3.4
hâle;2.75;12.38301282;2.933333333
hall;4.321428571;9.17352614;5.533333333
halle;3.857142857;10.16907675;3.962962963
halte;3.357142857;10.1452381;2.766666667
hanche;3.964285714;8.136781609;6.166666667
hargne;2.928571429;11.9547619;2.533333333
harpe;2.821428571;9.101223582;5.766666667
hâte;4.321428571;9.850945495;2.333333333
hausse;4.928571429;9.516666667;3.206896552
haut;5.75;4.748609566;3.6
havre;2.892857143;12.20355951;2.5
herbe;4.321428571;4.744160178;6.666666667
hertz;2.75;12.88876529;2.366666667
heure;6.25;5.921023359;3.933333333
hier;6.321428571;5.219047619;2.933333333
homme;5.857142857;4.716351502;6.7
honte;4.928571429;7.463848721;3.1
hors;5.571428571;8.923248053;1.633333333
hôte;3.142857143;10.42157953;3.8
hotte;3.285714286;6.722860792;5.9
houle;2.428571429;12.66133005;3.1
housse;3.821428571;9.179087875;5.7
houx;2.5;8.147619048;5.933333333
huile;4.642857143;8.52836485;6.166666667
huit;5.142857143;4.709677419;5.066666667
huître;2.964285714;8.103448276;6.733333333
humble;3.5;11.27884615;2.7
hutte;2.642857143;9.100111235;5.133333333
hyène;2.607142857;9.457174638;6.166666667
hymne;3.357142857;10.06785714;4.033333333
il;6.928571429;4.35483871;1.766666667
île;3.285714286;6.385984427;6.433333333
ivre;3.857142857;9.675194661;5.566666667
jambe;5.25;4.137931034;6.6
jarre;2.642857143;10.74972191;5.1
jauge;3.142857143;11.98901099;4.133333333
jaune;4.535714286;3.816462736;6.033333333
jazz;3.607142857;9.886540601;4.633333333
je;6.785714286;3.709677419;2.466666667
jean;5.357142857;7.988876529;6.333333333
jet;3.464285714;9.312569522;4.7
jeu;5.107142857;4.208008899;4.933333333
jeune;5.321428571;6.52836485;5.533333333
jeûne;3.5;10.58333333;4.433333333
job;4.785714286;11.66740823;4.766666667
joie;4.642857143;6.640711902;4.233333333
joindre;4.464285714;9.318131257;2.933333333
joint;4.285714286;10.42380423;4
jouable;3.785714286;10.21583653;2.133333333
joue;5.035714286;4.421579533;4.733333333
joué;4.642857143;4.640711902;3.266666667
jouer;5.035714286;3.889877642;4.5
jouet;4.678571429;3.745272525;6.4
joueur;4.392857143;6.17352614;4.833333333
jouir;4.357142857;12.81071429;4.233333333
jour;6.107142857;4.745272525;4.133333333
joute;2.571428571;15.45352564;2.962962963
juge;4;9.098998888;5.533333333
juin;3.714285714;5.994438265;4.366666667
jungle;3;6.49054505;5.8
jupe;4.607142857;4.886540601;6.5
jus;5.5;5.209121246;5.766666667
jusque;6.321428571;7.171301446;1.233333333
juste;5.928571429;5.957730812;2.133333333
kilt;2.642857143;10.80952381;5.321428571
kiosque;3.892857143;9.848720801;5.433333333
kit;3.857142857;11.81226054;3.566666667
la;6.892857143;4.101223582;2
là;6.714285714;5.467185762;1.566666667
lac;3.357142857;6.171301446;6.533333333
lâche;3.964285714;9.599555061;2.666666667
laid;4.357142857;7.371428571;4.366666667
laine;3.714285714;6.385984427;6.5
laisse;5.785714286;5.707452725;3.333333333
lait;5.535714286;4.137931034;6.433333333
lame;3.892857143;7.536151279;6.1
lampe;5.25;4.888765295;6.833333333
lance;4.25;6.955506118;5.333333333
langue;4.821428571;4.459399333;6.6
laque;3.535714286;9.35483871;5.766666667
